A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/8/2016 20:00,2016,1,8,20,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 21:00,2016,1,8,21,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 22:00,2016,1,8,22,65,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 23:00,2016,1,8,23,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 0:00,2016,1,9,0,77,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 1:00,2016,1,9,1,81,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 2:00,2016,1,9,2,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 3:00,2016,1,9,3,75,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 4:00,2016,1,9,4,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 5:00,2016,1,9,5,82,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 6:00,2016,1,9,6,78,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 7:00,2016,1,9,7,88,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 8:00,2016,1,9,8,89,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 9:00,2016,1,9,9,89,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 10:00,2016,1,9,10,90,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 11:00,2016,1,9,11,116,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 12:00,2016,1,9,12,140,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 13:00,2016,1,9,13,122,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 14:00,2016,1,9,14,84,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 15:00,2016,1,9,15,55,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 16:00,2016,1,9,16,61,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 17:00,2016,1,9,17,68,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 18:00,2016,1,9,18,66,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 19:00,2016,1,9,19,69,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 20:00,2016,1,9,20,66,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 21:00,2016,1,9,21,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 22:00,2016,1,9,22,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2016 23:00,2016,1,9,23,76,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 0:00,2016,1,10,0,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 1:00,2016,1,10,1,91,µg/m³,1 Hr,Valid
